TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,IP Address,TransactionDuration,AccountBalance,PreviousTransactionDate
TX000023,AC00095,52.2,6/6/2023 18:54,Debit,Atlanta,133.63.96.21,120,8974.93,11/4/2024 8:07
TX000024,AC00453,345.84,5/2/2023 18:25,Debit,Fort Worth,191.82.103.198,142,1402.5,11/4/2024 8:07
TX000025,AC00241,145.54,3/2/2023 16:43,Debit,Raleigh,119.186.154.104,96,1930.96,11/4/2024 8:07
TX000026,AC00041,7.49,10/20/2023 17:53,Credit,Houston,81.248.235.147,276,3634.67,11/4/2024 8:09
TX000027,AC00441,246.93,4/17/2023 16:37,Debit,Miami,55.154.161.250,158,673.35,11/4/2024 8:11
TX000028,AC00057,40.32,3/29/2023 16:42,Debit,Milwaukee,21.28.32.1,95,2686.52,11/4/2024 8:11
TX000029,AC00390,127.45,1/24/2023 16:18,Debit,Las Vegas,152.234.65.155,197,1772.06,11/4/2024 8:11
TX000030,AC00313,56.17,9/20/2023 16:55,Debit,Detroit,33.28.138.82,283,1351.69,11/4/2024 8:08
TX000031,AC00367,28.31,7/17/2023 17:49,Credit,Miami,35.67.21.23,20,8334.47,11/4/2024 8:09
TX000032,AC00291,59.12,2/6/2023 16:24,Debit,Baltimore,187.199.178.27,257,9823.64,11/4/2024 8:06
TX000033,AC00060,396.45,9/25/2023 16:26,Debit,New York,133.67.250.163,168,9690.15,11/4/2024 8:11
TX000034,AC00359,877.81,3/13/2023 17:23,Debit,Los Angeles,134.140.85.231,150,399,11/4/2024 8:07
TX000035,AC00365,255.26,10/27/2023 16:42,Credit,San Francisco,92.214.76.157,50,14815.87,11/4/2024 8:10
TX000036,AC00267,124.76,10/16/2023 16:32,Debit,Seattle,59.145.242.13,45,5764.72,11/4/2024 8:06
TX000037,AC00404,78.13,11/21/2023 16:58,Debit,Milwaukee,33.28.138.82,145,900.61,11/4/2024 8:12
TX000038,AC00202,649.28,3/2/2023 17:53,Debit,San Jose,73.108.76.238,137,4875.86,11/4/2024 8:11
TX000039,AC00478,795.31,10/12/2023 17:07,Debit,Mesa,49.29.37.185,90,7914.88,11/4/2024 8:11
TX000040,AC00405,335.63,1/24/2023 17:17,Debit,Oklahoma City,49.20.211.229,216,1019.39,11/4/2024 8:07
TX000041,AC00421,328.47,7/31/2023 18:39,Debit,San Antonio,6.234.101.35,119,4323.66,11/4/2024 8:07
TX000042,AC00480,34.02,1/9/2023 16:13,Debit,Philadelphia,109.105.179.186,19,14214.48,11/4/2024 8:11
TX000043,AC00120,241.42,4/20/2023 18:57,Credit,Charlotte,60.89.202.192,116,13357.02,11/4/2024 8:09
TX000044,AC00117,55.32,4/12/2023 16:03,Debit,Tucson,173.135.78.201,117,241.79,11/4/2024 8:08
TX000045,AC00011,304.31,7/26/2023 16:52,Debit,Louisville,77.208.193.198,33,868.61,11/4/2024 8:09
TX000046,AC00401,435.27,10/4/2023 17:49,Debit,Chicago,197.162.55.147,90,4673.28,11/4/2024 8:11
TX000047,AC00282,164.49,12/13/2023 16:01,Debit,Baltimore,113.115.81.178,75,1509.27,11/4/2024 8:10
TX000048,AC00439,510.24,10/9/2023 16:29,Debit,Oklahoma City,186.135.2.148,105,781.7,11/4/2024 8:11
TX000049,AC00296,626.9,11/27/2023 16:45,Debit,Denver,93.146.251.20,138,265.51,11/4/2024 8:07
TX000050,AC00471,22.01,3/27/2023 16:45,Credit,Sacramento,124.6.134.78,175,1335.09,11/4/2024 8:06
TX000051,AC00159,425.34,2/13/2023 16:59,Credit,Kansas City,139.23.212.102,121,3907.54,11/4/2024 8:07
TX000052,AC00482,424.56,2/21/2023 17:45,Debit,Omaha,179.43.245.131,264,5183.85,11/4/2024 8:09
TX000053,AC00115,85.43,6/7/2023 16:45,Debit,Virginia Beach,194.174.252.1,145,14904.9,11/4/2024 8:06
TX000054,AC00055,169.5,9/7/2023 16:51,Debit,San Diego,42.219.228.159,142,918.88,11/4/2024 8:08
TX000055,AC00419,104.63,3/29/2023 17:47,Debit,Omaha,186.135.2.148,90,4477.78,11/4/2024 8:10
TX000056,AC00374,316.95,8/4/2023 17:53,Debit,Mesa,81.102.230.41,83,1324.03,11/4/2024 8:09
TX000057,AC00271,60.54,12/14/2023 17:52,Credit,Columbus,1.198.76.182,52,3534.93,11/4/2024 8:09
TX000058,AC00456,292.56,3/3/2023 17:37,Credit,Dallas,198.73.211.114,61,4638.37,11/4/2024 8:07
TX000059,AC00143,386.52,6/9/2023 16:18,Debit,Indianapolis,186.54.68.246,28,5630.61,11/4/2024 8:07
TX000060,AC00427,112.07,10/2/2023 16:35,Debit,Kansas City,198.166.198.233,51,930.3,11/4/2024 8:11
TX000061,AC00438,568.52,10/6/2023 18:44,Debit,Indianapolis,27.143.109.203,152,5499.91,11/4/2024 8:06
TX000062,AC00002,263.99,5/16/2023 16:07,Debit,Dallas,7.146.35.122,227,4175.02,11/4/2024 8:11
TX000063,AC00425,349.64,11/7/2023 16:48,Debit,Las Vegas,9.230.41.239,226,6651.62,11/4/2024 8:08
TX000064,AC00325,601.4,5/30/2023 17:43,Credit,Philadelphia,125.225.212.244,104,8458.29,11/4/2024 8:08
TX000065,AC00434,5.77,11/2/2023 16:01,Debit,Charlotte,155.164.18.235,124,13988.12,11/4/2024 8:11
TX000066,AC00242,201.33,3/29/2023 17:00,Credit,Nashville,145.246.171.225,186,2585.07,11/4/2024 8:11
TX000067,AC00319,298.42,4/25/2023 16:11,Debit,Indianapolis,92.214.76.157,225,3014.75,11/4/2024 8:10
TX000068,AC00460,521.06,4/18/2023 18:40,Debit,Albuquerque,131.41.45.13,128,1951.42,11/4/2024 8:12
TX000069,AC00461,117.28,2/9/2023 16:34,Credit,Austin,46.150.175.171,16,3665.77,11/4/2024 8:07
TX000070,AC00395,189.12,11/13/2023 16:42,Credit,Indianapolis,125.89.163.224,103,977.01,11/4/2024 8:08
TX000071,AC00217,133.55,7/18/2023 16:12,Debit,Atlanta,40.226.196.34,220,3846.28,11/4/2024 8:10
TX000072,AC00053,143.21,1/13/2023 17:00,Debit,Dallas,65.164.3.100,135,6374.82,11/4/2024 8:09
TX000073,AC00282,24.77,7/4/2023 18:20,Debit,Boston,9.230.41.239,55,5866.01,11/4/2024 8:12
TX000074,AC00110,233.92,10/20/2023 16:54,Credit,Jacksonville,152.140.239.181,280,6537.62,11/4/2024 8:08
TX000075,AC00265,1212.51,10/4/2023 16:36,Debit,Indianapolis,193.83.0.183,24,605.95,11/4/2024 8:06
TX000076,AC00239,232.12,12/28/2023 17:31,Debit,Omaha,156.173.170.140,51,6689.87,11/4/2024 8:09
TX000077,AC00007,162.63,6/12/2023 17:53,Debit,Kansas City,60.153.124.80,113,634.17,11/4/2024 8:08
TX000078,AC00022,91.53,3/13/2023 16:32,Debit,Milwaukee,94.37.250.128,69,14676.05,11/4/2024 8:11
TX000079,AC00464,120.29,12/18/2023 18:46,Debit,Miami,162.198.218.92,77,1362.39,11/4/2024 8:06
TX000080,AC00014,174.25,7/17/2023 18:54,Debit,Seattle,130.92.201.49,67,10528.34,11/4/2024 8:10
TX000081,AC00406,183.71,6/19/2023 18:22,Debit,Denver,86.103.2.29,102,552.52,11/4/2024 8:09
TX000082,AC00445,345.39,10/23/2023 17:13,Credit,Phoenix,131.41.45.13,80,6451.96,11/4/2024 8:08
TX000083,AC00236,922.55,1/23/2023 16:32,Debit,Detroit,21.97.154.92,87,4715.84,11/4/2024 8:11
TX000084,AC00220,259.91,11/6/2023 16:34,Debit,Denver,36.13.239.172,170,7176.86,11/4/2024 8:09
TX000085,AC00140,154.71,7/3/2023 16:40,Debit,San Diego,167.104.180.235,157,1523.72,11/4/2024 8:09
TX000086,AC00098,1340.19,9/29/2023 17:22,Credit,Austin,165.114.224.47,30,8654.28,11/4/2024 8:06
TX000087,AC00303,24.56,10/20/2023 17:27,Debit,Mesa,16.131.3.140,69,9869.93,11/4/2024 8:12
TX000088,AC00373,568.07,8/28/2023 17:03,Debit,Washington,8.243.4.138,115,10556.81,11/4/2024 8:07
TX000089,AC00438,9.61,6/22/2023 18:37,Credit,San Diego,132.127.5.187,179,12883.91,11/4/2024 8:09
TX000090,AC00437,392.96,11/20/2023 16:28,Debit,Kansas City,186.54.68.246,100,791.65,11/4/2024 8:08
TX000091,AC00106,716.93,9/14/2023 16:49,Credit,Milwaukee,101.223.82.253,34,4064.02,11/4/2024 8:08
TX000092,AC00310,223.85,10/2/2023 16:36,Debit,Kansas City,133.223.159.151,55,2929.91,11/4/2024 8:08
TX000093,AC00149,230.66,3/27/2023 18:16,Debit,Houston,60.43.160.195,135,618.05,11/4/2024 8:10
TX000094,AC00373,442.12,12/21/2023 16:37,Debit,Los Angeles,168.36.49.167,260,1375.8,11/4/2024 8:08
TX000095,AC00425,644.17,3/2/2023 16:05,Debit,San Antonio,165.38.56.205,72,1143.52,11/4/2024 8:08
TX000096,AC00010,508.68,6/26/2023 16:16,Credit,Mesa,193.108.17.115,127,7708.41,11/4/2024 8:09
TX000097,AC00348,858.63,4/18/2023 17:27,Credit,San Francisco,175.230.206.232,185,1872.96,11/4/2024 8:10
TX000098,AC00011,25.36,7/17/2023 17:08,Debit,Louisville,62.152.134.92,78,201.04,11/4/2024 8:11
TX000099,AC00453,147.62,9/1/2023 17:26,Debit,Charlotte,149.84.108.18,133,2115.8,11/4/2024 8:07
TX000100,AC00178,115.02,9/11/2023 16:19,Debit,San Antonio,134.222.122.238,175,7643.66,11/4/2024 8:08
TX000101,AC00265,383.37,1/24/2023 17:23,Debit,Fort Worth,18.72.115.111,24,8901.93,11/4/2024 8:11
TX000102,AC00018,98.54,8/11/2023 16:18,Credit,El Paso,34.125.226.63,167,9383.43,11/4/2024 8:10
TX000103,AC00075,83.24,10/16/2023 18:35,Credit,Fort Worth,21.28.32.1,164,1181.31,11/4/2024 8:10
TX000104,AC00464,196.16,2/24/2023 16:29,Debit,Virginia Beach,204.34.243.93,146,9418.86,11/4/2024 8:08
TX000105,AC00170,129.94,1/2/2023 16:36,Debit,Las Vegas,111.226.226.202,235,7954.92,11/4/2024 8:06
TX000106,AC00235,306.9,11/30/2023 16:31,Debit,Colorado Springs,96.115.67.230,51,9418.08,11/4/2024 8:10
TX000107,AC00013,114.98,11/1/2023 16:52,Debit,Seattle,115.218.48.83,80,6144.68,11/4/2024 8:09
TX000108,AC00397,756.59,3/6/2023 16:47,Debit,Sacramento,174.61.77.54,17,420.65,11/4/2024 8:11
TX000109,AC00423,503.76,11/27/2023 18:32,Debit,Los Angeles,216.151.64.40,35,447.82,11/4/2024 8:09
TX000110,AC00154,143.03,7/31/2023 16:37,Debit,San Antonio,197.162.55.147,147,7981.45,11/4/2024 8:10
TX000111,AC00068,1045.22,11/22/2023 16:13,Debit,Columbus,77.7.223.184,73,1829.9,11/4/2024 8:07
TX000112,AC00318,245.54,3/21/2023 16:29,Debit,New York,44.197.126.59,180,985.06,11/4/2024 8:10
TX000113,AC00396,254.37,4/20/2023 18:26,Credit,Dallas,143.212.47.226,174,8849.26,11/4/2024 8:06
TX000114,AC00121,213.76,3/1/2023 17:52,Credit,Dallas,51.250.122.123,282,3528.72,11/4/2024 8:09
TX000115,AC00336,327.86,2/10/2023 16:52,Debit,Fresno,188.124.181.12,104,480.16,11/4/2024 8:06
TX000116,AC00468,2.5,7/21/2023 16:43,Debit,San Diego,44.73.3.217,107,12145.27,11/4/2024 8:09
TX000117,AC00282,300.08,10/9/2023 17:02,Credit,Austin,85.240.254.83,47,13546.75,11/4/2024 8:12
TX000118,AC00498,56.98,1/1/2024 16:34,Credit,Oklahoma City,101.90.40.193,122,5688.37,11/4/2024 8:07
TX000119,AC00085,407.65,7/7/2023 16:11,Debit,Boston,98.255.160.110,62,8346.64,11/4/2024 8:06
TX000120,AC00092,115.83,5/22/2023 17:09,Debit,Fresno,124.6.134.78,167,6481.04,11/4/2024 8:10
TX000121,AC00295,53.57,8/16/2023 16:17,Debit,Houston,45.64.74.86,121,1651.33,11/4/2024 8:08
TX000122,AC00358,63.34,11/17/2023 16:02,Credit,Detroit,69.82.61.135,165,11174.94,11/4/2024 8:10
TX000123,AC00311,317.87,5/22/2023 17:29,Debit,Detroit,79.227.202.117,91,145.5,11/4/2024 8:11
TX000124,AC00066,331.65,8/25/2023 17:26,Debit,Portland,26.240.219.199,61,4172.57,11/4/2024 8:11
TX000125,AC00340,5.04,11/27/2023 16:38,Debit,Washington,63.67.150.226,41,5558.36,11/4/2024 8:10
TX000126,AC00284,214.54,8/4/2023 17:46,Credit,Detroit,195.226.203.234,247,11151.53,11/4/2024 8:11
TX000127,AC00208,598.81,9/4/2023 16:48,Debit,Philadelphia,92.214.76.157,158,1415.52,11/4/2024 8:10
TX000128,AC00176,841.28,8/9/2023 17:34,Debit,Tucson,101.223.82.253,80,1103.64,11/4/2024 8:09
TX000129,AC00053,38.15,9/7/2023 16:07,Debit,Mesa,77.21.150.75,108,303.68,11/4/2024 8:07
TX000130,AC00320,1036.66,7/11/2023 16:39,Debit,San Antonio,53.218.177.171,144,5541.57,11/4/2024 8:09
TX000131,AC00382,124.72,7/3/2023 17:14,Debit,Oklahoma City,147.234.20.46,105,6309.8,11/4/2024 8:07
TX000132,AC00384,302.45,9/25/2023 17:13,Credit,San Antonio,203.99.96.114,40,5133.61,11/4/2024 8:11
TX000133,AC00203,208.04,11/20/2023 17:10,Debit,Louisville,65.27.212.129,273,9344.98,11/4/2024 8:08
TX000134,AC00498,5.77,11/17/2023 17:27,Credit,Los Angeles,85.240.254.83,254,1117.97,11/4/2024 8:10
TX000135,AC00349,381.33,8/21/2023 16:46,Debit,Albuquerque,62.251.170.72,75,11835.35,11/4/2024 8:09
TX000136,AC00177,16.16,10/16/2023 16:59,Debit,Milwaukee,161.177.41.214,124,14401.17,11/4/2024 8:11
TX000137,AC00284,486.08,6/20/2023 17:21,Debit,Oklahoma City,138.87.180.254,68,1748.69,11/4/2024 8:07
TX000138,AC00272,336.39,1/16/2023 16:53,Debit,San Antonio,203.99.96.114,18,1000.46,11/4/2024 8:09
TX000139,AC00405,997.43,11/22/2023 16:07,Debit,Seattle,100.4.40.132,118,6810.05,11/4/2024 8:08
TX000140,AC00385,234.57,9/1/2023 16:09,Debit,Chicago,45.182.28.148,120,263.98,11/4/2024 8:08
TX000141,AC00403,6,10/23/2023 18:38,Debit,Chicago,18.72.115.111,246,5442.76,11/4/2024 8:09
TX000142,AC00114,1049.92,10/23/2023 16:50,Debit,Detroit,121.67.144.20,21,2037.85,11/4/2024 8:10
TX000143,AC00163,227.14,7/3/2023 17:42,Debit,Charlotte,197.162.55.147,294,341.94,11/4/2024 8:11
TX000144,AC00108,233.74,10/24/2023 16:41,Credit,Oklahoma City,96.115.67.230,17,1066.59,11/4/2024 8:11
TX000145,AC00397,113.02,9/25/2023 16:54,Credit,Jacksonville,33.212.169.157,166,6077.96,11/4/2024 8:07
TX000146,AC00434,45.85,2/16/2023 17:57,Debit,Los Angeles,163.129.70.210,92,1659.15,11/4/2024 8:07
TX000147,AC00385,973.39,8/30/2023 17:23,Debit,Sacramento,202.194.199.70,296,2042.22,11/4/2024 8:11
TX000148,AC00161,514.95,4/13/2023 18:37,Debit,New York,23.92.205.75,142,421.93,11/4/2024 8:10
TX000149,AC00333,415.5,7/28/2023 16:29,Debit,Memphis,140.212.253.222,141,10113.66,11/4/2024 8:10
TX000150,AC00279,265.76,2/6/2023 17:48,Debit,Philadelphia,3.157.63.220,92,4446.17,11/4/2024 8:12
TX000151,AC00072,69.4,7/24/2023 18:08,Debit,Virginia Beach,216.151.64.40,113,6452.77,11/4/2024 8:09
TX000152,AC00242,332.93,11/20/2023 16:29,Credit,Albuquerque,113.115.81.178,293,2788.2,11/4/2024 8:08
TX000153,AC00303,267.9,10/9/2023 16:52,Debit,San Antonio,216.32.4.105,160,596.16,11/4/2024 8:08
TX000154,AC00442,496.03,11/3/2023 16:45,Debit,San Francisco,210.160.90.52,265,12904.66,11/4/2024 8:09
TX000155,AC00087,376.26,2/15/2023 16:41,Debit,Tucson,82.88.241.226,245,9062.4,11/4/2024 8:09
TX000156,AC00174,83.02,9/4/2023 17:59,Credit,Seattle,34.92.221.183,171,9009.56,11/4/2024 8:11
TX000157,AC00421,93.26,7/27/2023 16:22,Credit,New York,182.225.2.156,72,1152.2,11/4/2024 8:12
TX000158,AC00111,803.37,4/17/2023 16:08,Credit,Memphis,191.91.45.159,129,12168.37,11/4/2024 8:08
TX000159,AC00275,35.76,9/19/2023 17:38,Debit,Charlotte,111.78.64.133,122,611.86,11/4/2024 8:11
TX000160,AC00492,28.53,5/31/2023 16:37,Debit,Washington,215.97.143.157,99,8670.53,11/4/2024 8:06
TX000161,AC00380,139.53,10/9/2023 17:20,Credit,Louisville,167.104.180.235,177,10098.86,11/4/2024 8:07
TX000162,AC00227,307.57,1/9/2023 16:12,Debit,Detroit,128.16.32.183,285,5307.74,11/4/2024 8:06
TX000163,AC00257,60.65,5/26/2023 18:15,Credit,Tucson,10.144.131.89,53,1047.28,11/4/2024 8:09
TX000164,AC00062,74.86,8/14/2023 17:43,Debit,Nashville,161.168.126.136,125,6921.48,11/4/2024 8:07
TX000165,AC00383,117.97,11/24/2023 18:51,Debit,Kansas City,198.39.35.23,137,1475.46,11/4/2024 8:09
TX000166,AC00182,231.91,1/31/2023 18:31,Debit,Memphis,161.71.2.223,165,112.76,11/4/2024 8:12
TX000167,AC00478,126.21,2/14/2023 16:07,Debit,Baltimore,141.121.30.32,268,5669.66,11/4/2024 8:08
TX000168,AC00332,506.28,5/2/2023 17:03,Credit,Chicago,110.150.1.201,162,1309.95,11/4/2024 8:09
TX000169,AC00202,304.35,12/4/2023 17:07,Debit,Houston,183.39.94.209,36,4057.1,11/4/2024 8:08
TX000170,AC00331,281.85,5/16/2023 17:26,Debit,Detroit,219.193.239.152,109,1585.98,11/4/2024 8:07
TX000171,AC00474,777.88,3/20/2023 16:58,Debit,Houston,139.23.212.102,17,6825.55,11/4/2024 8:09
TX000172,AC00268,119.18,8/25/2023 18:01,Debit,Los Angeles,7.105.184.86,96,5516.5,11/4/2024 8:07
TX000173,AC00247,177.19,5/15/2023 17:25,Debit,Chicago,130.92.201.49,43,5343.3,11/4/2024 8:06
TX000174,AC00298,260.88,5/29/2023 16:50,Debit,Denver,184.59.28.72,36,903.05,11/4/2024 8:06
TX000175,AC00106,169.47,3/22/2023 16:10,Debit,Chicago,120.170.93.69,19,1806.16,11/4/2024 8:07
TX000176,AC00035,73.23,5/19/2023 16:52,Debit,Portland,155.37.19.43,14,787.74,11/4/2024 8:11
TX000177,AC00363,1362.55,2/10/2023 18:07,Debit,El Paso,93.52.44.101,106,2429.68,11/4/2024 8:11
TX000178,AC00273,792.57,5/22/2023 16:22,Debit,Baltimore,110.235.207.187,164,770.37,11/4/2024 8:10
TX000179,AC00156,237.06,12/18/2023 16:47,Debit,Phoenix,61.95.76.233,46,1182.77,11/4/2024 8:07
TX000180,AC00010,34.17,11/21/2023 16:57,Credit,Philadelphia,177.116.108.246,54,726.55,11/4/2024 8:06
TX000181,AC00036,740.25,7/19/2023 17:03,Debit,Philadelphia,1.198.76.182,123,14464.3,11/4/2024 8:08
TX000182,AC00149,453.54,4/19/2023 16:36,Debit,Albuquerque,223.32.70.156,82,12046.3,11/4/2024 8:12
TX000183,AC00225,300.47,11/13/2023 16:11,Debit,Jacksonville,156.173.170.140,100,7885.64,11/4/2024 8:08
TX000184,AC00077,110.93,4/7/2023 16:38,Credit,Virginia Beach,101.223.82.253,201,1952.35,11/4/2024 8:10
TX000185,AC00440,201.69,1/3/2023 16:46,Debit,Las Vegas,193.108.17.115,299,7328.52,11/4/2024 8:10
TX000186,AC00321,399.21,1/30/2023 16:15,Debit,Portland,30.229.179.194,109,3210.39,11/4/2024 8:08
TX000187,AC00099,1041.88,9/6/2023 16:44,Debit,Jacksonville,32.240.176.64,57,5726.2,11/4/2024 8:06
TX000188,AC00258,630.36,3/2/2023 16:11,Debit,Mesa,200.22.195.243,52,1363.65,11/4/2024 8:12
TX000189,AC00132,10.94,10/23/2023 17:24,Credit,Philadelphia,10.191.172.154,245,1241.99,11/4/2024 8:11
TX000190,AC00113,215.9,1/4/2023 16:02,Debit,Los Angeles,147.119.62.178,235,7873.28,11/4/2024 8:10
TX000191,AC00396,1422.55,7/10/2023 17:49,Debit,Washington,188.124.181.12,165,5674.32,11/4/2024 8:06
TX000192,AC00099,226.37,9/18/2023 17:07,Credit,Louisville,206.62.122.93,141,9840.04,11/4/2024 8:09
TX000193,AC00265,444.89,9/11/2023 16:27,Credit,Las Vegas,42.61.10.112,101,10328.23,11/4/2024 8:11
TX000194,AC00047,280.57,1/27/2023 17:35,Credit,Virginia Beach,170.225.23.251,24,293.24,11/4/2024 8:10
TX000195,AC00005,488.54,7/3/2023 17:47,Debit,Jacksonville,198.24.183.157,132,7486.63,11/4/2024 8:07
TX000196,AC00363,3.3,3/27/2023 16:42,Credit,Los Angeles,116.44.12.250,131,11385.37,11/4/2024 8:10
TX000197,AC00426,199.39,8/21/2023 16:16,Debit,Colorado Springs,194.88.79.54,165,7264.79,11/4/2024 8:09
TX000198,AC00107,20.36,7/24/2023 17:02,Debit,Tucson,96.115.67.230,75,2762.48,11/4/2024 8:11
TX000199,AC00237,113.64,10/24/2023 17:09,Debit,Detroit,31.127.129.152,32,6675.03,11/4/2024 8:07
TX000200,AC00358,493.11,7/31/2023 16:25,Debit,Colorado Springs,35.220.238.127,236,7432.99,11/4/2024 8:08
TX000201,AC00113,307.41,6/12/2023 17:32,Debit,Los Angeles,1.7.29.72,14,1057,11/4/2024 8:09
TX000202,AC00010,11.18,11/30/2023 16:52,Debit,Atlanta,16.51.235.240,161,5956.89,11/4/2024 8:10
TX000203,AC00499,313.82,11/15/2023 18:57,Debit,Tucson,179.43.245.131,151,7261.59,11/4/2024 8:08
TX000204,AC00380,51,1/30/2023 16:00,Debit,Seattle,193.217.248.188,107,4943.16,11/4/2024 8:08
TX000205,AC00452,140.98,5/25/2023 16:34,Debit,Memphis,192.95.36.246,100,8127.48,11/4/2024 8:12
TX000206,AC00020,288.04,8/24/2023 16:47,Debit,Denver,205.69.66.135,63,1748.02,11/4/2024 8:10
TX000207,AC00181,800.55,5/4/2023 16:21,Debit,Oklahoma City,8.244.162.185,108,9660.22,11/4/2024 8:06
TX000208,AC00370,485.54,2/6/2023 17:46,Debit,Houston,140.212.253.222,143,6371.51,11/4/2024 8:11
TX000209,AC00453,521.15,2/17/2023 18:16,Debit,Kansas City,166.7.230.111,214,9442.47,11/4/2024 8:07
TX000210,AC00339,321.79,8/7/2023 17:30,Credit,Raleigh,86.103.2.29,61,5959.2,11/4/2024 8:10
TX000211,AC00249,304.93,2/24/2023 16:23,Debit,Portland,21.190.11.223,158,13531.22,11/4/2024 8:08
TX000212,AC00479,432.08,7/31/2023 16:04,Debit,El Paso,40.192.99.27,145,11500.62,11/4/2024 8:11
TX000213,AC00301,694.2,12/7/2023 16:20,Debit,Milwaukee,27.143.109.203,72,1389.37,11/4/2024 8:07
TX000214,AC00380,116.86,3/20/2023 18:28,Debit,Louisville,184.146.10.88,171,6706.56,11/4/2024 8:12
TX000215,AC00130,386.81,3/3/2023 18:02,Credit,Detroit,34.169.232.37,149,7175.29,11/4/2024 8:10
TX000216,AC00006,74.88,5/24/2023 16:25,Debit,Atlanta,161.161.26.115,202,420.67,11/4/2024 8:07
TX000217,AC00096,195.76,5/22/2023 16:17,Debit,Philadelphia,119.163.214.161,99,7323.53,11/4/2024 8:09
TX000218,AC00108,134.7,8/21/2023 16:03,Debit,Fort Worth,155.19.119.0,106,8395.85,11/4/2024 8:11
TX000219,AC00070,890.24,7/7/2023 18:03,Credit,Las Vegas,28.149.72.129,161,5140.93,11/4/2024 8:07
TX000220,AC00417,361.27,1/6/2023 17:01,Debit,Omaha,78.100.105.143,180,7945.57,11/4/2024 8:10
TX000221,AC00391,131.56,10/19/2023 16:42,Debit,Charlotte,27.215.118.94,42,5873.54,11/4/2024 8:07
TX000222,AC00414,485.51,11/28/2023 16:49,Credit,Milwaukee,91.204.200.167,37,3074.45,11/4/2024 8:08
TX000223,AC00004,547.87,7/10/2023 17:15,Debit,Columbus,188.205.152.176,131,6155.76,11/4/2024 8:10
TX000224,AC00047,457.3,6/26/2023 18:25,Debit,Virginia Beach,62.27.235.199,15,8318.29,11/4/2024 8:07
TX000225,AC00198,506.24,1/13/2023 16:44,Debit,Chicago,136.104.90.223,64,230.09,11/4/2024 8:11
TX000226,AC00314,486.59,12/19/2023 16:55,Debit,Indianapolis,129.102.184.189,119,2513.56,11/4/2024 8:10
TX000227,AC00212,163.68,9/28/2023 16:20,Debit,San Diego,35.67.21.23,292,10090.05,11/4/2024 8:11
TX000228,AC00115,581.65,1/9/2023 16:54,Debit,Boston,80.92.209.207,176,480.19,11/4/2024 8:09
TX000229,AC00055,52.01,11/7/2023 16:46,Debit,Mesa,178.34.103.183,85,1120.88,11/4/2024 8:11
